i	       gkgk2	prec
0	2.56000000000e2	2
1	5.12000000000e2	2
2	5.12000000000e2	2
3	3.84000000000e2	2
4	3.84000000000e2	2
5	2.56000000000e2	2
6	2.56000000000e2	2
7	3.84000000000e2	2
8	7.68000000000e2	2
9	1.02400000000e3	2
10	2.04800000000e3	2
11	2.04800000000e3	2
12	2.04800000000e3	2
13	2.04800000000e3	2
14	2.04800000000e3	2
15	2.04800000000e3	2
16	2.04800000000e3	2
17	2.04800000000e3	2
18	2.04800000000e3	2
19	2.04800000000e3	2

0	1.60000000000e2	3
1	1.60000000000e2	3
2	2.56000000000e2	3
3	3.84000000000e2	3
4	3.20000000000e2	3
5	3.84000000000e2	3
6	7.68000000000e2	3
7	3.58400000000e3	3
8	5.12000000000e3	3
9	1.02400000000e4	3
10	3.58400000000e3	3
11	2.56000000000e3	3
12	2.56000000000e3	3
13	2.56000000000e3	3
14	2.04800000000e3	3
15	2.56000000000e3	3
16	4.09600000000e3	3
17	3.58400000000e3	3
18	2.56000000000e3	3
19	4.09600000000e3	3

0	1.28000000000e2	4
1	8.00000000000e1	4
2	1.20000000000e2	4
3	1.92000000000e2	4
4	1.76000000000e2	4
5	1.76000000000e2	4
6	1.92000000000e2	4
7	2.88000000000e2	4
8	2.56000000000e2	4
9	2.08000000000e2	4
10	1.76000000000e2	4
11	1.76000000000e2	4
12	2.40000000000e2	4
13	2.56000000000e2	4
14	2.56000000000e2	4
15	2.56000000000e2	4
16	2.56000000000e2	4
17	2.40000000000e2	4
18	2.08000000000e2	4
19	2.08000000000e2	4

0	1.76000000000e2	5
1	8.40000000000e1	5
2	1.44000000000e2	5
3	2.24000000000e2	5
4	2.16000000000e2	5
5	1.92000000000e2	5
6	1.92000000000e2	5
7	2.16000000000e2	5
8	3.20000000000e2	5
9	3.52000000000e2	5
10	3.84000000000e2	5
11	3.52000000000e2	5
12	4.16000000000e2	5
13	4.64000000000e2	5
14	4.48000000000e2	5
15	4.64000000000e2	5
16	6.40000000000e2	5
17	9.92000000000e2	5
18	1.08800000000e3	5
19	1.72800000000e3	5

0	1.14000000000e2	6
1	4.50000000000e1	6
2	5.10000000000e1	6
3	6.80000000000e1	6
4	6.60000000000e1	6
5	7.60000000000e1	6
6	8.00000000000e1	6
7	9.00000000000e1	6
8	1.00000000000e2	6
9	1.12000000000e2	6
10	1.08000000000e2	6
11	1.02000000000e2	6
12	7.60000000000e1	6
13	7.60000000000e1	6
14	8.60000000000e1	6
15	9.60000000000e1	6
16	1.16000000000e2	6
17	1.80000000000e2	6
18	1.84000000000e2	6
19	5.92000000000e2	6

0	1.17000000000e2	7
1	3.80000000000e1	7
2	2.27500000000e1	7
3	2.90000000000e1	7
4	5.10000000000e1	7
5	7.60000000000e1	7
6	1.04000000000e2	7
7	1.32000000000e2	7
8	2.36000000000e2	7
9	4.32000000000e2	7
10	4.92800000000e3	7
11	4.28800000000e3	7
12	5.82400000000e3	7
13	5.50400000000e3	7
14	4.86400000000e3	7
15	4.09600000000e3	7
16	4.06400000000e3	7
17	4.06400000000e3	7
18	3.93600000000e3	7
19	3.64800000000e3	7

0	1.16000000000e2	8
1	3.57500000000e1	8
2	1.80000000000e1	8
3	1.41875000000e1	8
4	1.67500000000e1	8
5	2.40000000000e1	8
6	3.55000000000e1	8
7	4.77500000000e1	8
8	6.00000000000e1	8
9	7.70000000000e1	8
10	7.80000000000e1	8
11	7.30000000000e1	8
12	7.20000000000e1	8
13	8.10000000000e1	8
14	6.65000000000e1	8
15	8.60000000000e1	8
16	1.19000000000e2	8
17	1.35000000000e2	8
18	2.02000000000e2	8
19	5.72000000000e2	8

0	1.14750000000e2	9
1	3.37500000000e1	9
2	1.57812500000e1	9
3	1.05625000000e1	9
4	9.65625000000	9
5	1.08437500000e1	9
6	1.38750000000e1	9
7	1.89375000000e1	9
8	2.56250000000e1	9
9	3.48750000000e1	9
10	3.93750000000e1	9
11	3.73750000000e1	9
12	3.58750000000e1	9
13	6.27500000000e1	9
14	3.36250000000e1	9
15	6.37500000000e1	9
16	3.10625000000e1	9
17	4.62500000000e1	9
18	6.17500000000e1	9
19	3.71250000000e1	9

0	1.13375000000e2	10
1	3.46250000000e1	10
2	1.53281250000e1	10
3	8.31250000000	10
4	5.48437500000	10
5	4.59375000000	10
6	4.79687500000	10
7	5.59375000000	10
8	6.78906250000	10
9	8.93750000000	10
10	1.09218750000e1	10
11	1.01250000000e1	10
12	9.75000000000	10
13	1.54218750000e1	10
14	9.32812500000	10
15	9.14062500000	10
16	8.39062500000	10
17	1.67500000000e1	10
18	1.32031250000e1	10
19	9.73437500000	10

0	1.14000000000e2	11
1	3.40000000000e1	11
2	1.50390625000e1	11
3	8.23437500000	11
4	5.13281250000	11
5	3.56250000000	11
6	2.80273437500	11
7	2.45507812500	11
8	2.41992187500	11
9	2.85351562500	11
10	3.51562500000	11
11	3.17773437500	11
12	3.34375000000	11
13	4.93750000000	11
14	5.85937500000	11
15	6.72265625000	11
16	5.89062500000	11
17	1.47421875000e1	11
18	5.93750000000	11
19	6.81250000000	11

0	1.13625000000e2	12
1	3.37812500000e1	12
2	1.49023437500e1	12
3	8.01562500000	12
4	4.85742187500	12
5	3.23144531250	12
6	2.36718750000	12
7	1.84814453125	12
8	1.53222656250	12
9	1.48046875000	12
10	1.76025390625	12
11	1.40820312500	12
12	1.31494140625	12
13	1.73925781250	12
14	2.03710937500	12
15	2.18945312500	12
16	2.05371093750	12
17	5.53710937500	12
18	2.50585937500	12
19	3.86425781250	12

0	1.13750000000e2	13
1	3.39296875000e1	13
2	1.49453125000e1	13
3	8.01562500000	13
4	4.83886718750	13
5	3.18017578125	13
6	2.25830078125	13
7	1.65649414062	13
8	1.23706054688	13
9	9.79248046875e-1	13
10	8.41186523438e-1	13
11	1.06933593750	13
12	6.43066406250e-1	13
13	6.37817382812e-1	13
14	1.17968750000	13
15	9.60083007812e-1	13
16	3.07275390625	13
17	1.32958984375	13
18	2.63916015625	13
19	5.80664062500	13

0	1.13804687500e2	14
1	3.39570312500e1	14
2	1.49287109375e1	14
3	7.98046875000	14
4	4.76757812500	14
5	3.07543945312	14
6	2.12890625000	14
7	1.50878906250	14
8	1.06872558594	14
9	7.80212402344e-1	14
10	5.55847167969e-1	14
11	6.87622070312e-1	14
12	3.80493164062e-1	14
13	2.75817871094e-1	14
14	3.41766357422e-1	14
15	3.29742431641e-1	14
16	7.96936035156e-1	14
17	3.07464599609e-1	14
18	5.80078125000e-1	14
19	1.41430664062	14

0	1.13777343750e2	15
1	3.39257812500e1	15
2	1.49272460938e1	15
3	7.99853515625	15
4	4.79907226562	15
5	3.11132812500	15
6	2.16064453125	15
7	1.53033447266	15
8	1.07812500000	15
9	7.76458740234e-1	15
10	5.22155761719e-1	15
11	3.74633789062e-1	15
12	4.93652343750e-1	15
13	2.13226318359e-1	15
14	1.75956726074e-1	15
15	2.50244140625e-1	15
16	3.37203979492e-1	15
17	1.37268066406e-1	15
18	3.94943237305e-1	15
19	3.30917358398e-1	15

0	1.13791015625e2	16
1	3.39228515625e1	16
2	1.49248046875e1	16
3	7.99572753906	16
4	4.79174804688	16
5	3.10113525391	16
6	2.15130615234	16
7	1.52346801758	16
8	1.07385253906	16
9	7.74246215820e-1	16
10	5.23757934570e-1	16
11	4.82864379883e-1	16
12	3.73863220215e-1	16
13	1.99714660645e-1	16
14	1.23208999634e-1	16
15	3.34747314453e-1	16
16	9.25426483154e-2	16
17	1.44012451172e-1	16
18	3.24363708496e-1	16
19	7.93228149414e-2	16

0	1.13787109375e2	17
1	3.39257812500e1	17
2	1.49267578125e1	17
3	7.99395751953	17
4	4.78961181641	17
5	3.10012817383	17
6	2.15005493164	17
7	1.52102661133	17
8	1.06956481934	17
9	7.67662048340e-1	17
10	5.13298034668e-1	17
11	3.87424468994e-1	17
12	4.27253723145e-1	17
13	1.90677642822e-1	17
14	1.22058868408e-1	17
15	2.16152191162e-1	17
16	8.41541290283e-2	17
17	8.81395339966e-2	17
18	1.99253082275e-1	17
19	5.73468208313e-2	17

0	1.13785644531e2	18
1	3.39216308594e1	18
2	1.49254760742e1	18
3	7.99557495117	18
4	4.79144287109	18
5	3.10081481934	18
6	2.14993286133	18
7	1.52088165283	18
8	1.07003784180	18
9	7.68909454346e-1	18
10	5.13401031494e-1	18
11	3.16900253296e-1	18
12	3.98616790771e-1	18
13	2.06037521362e-1	18
14	1.07779502869e-1	18
15	2.64835357666e-1	18
16	6.40163421631e-2	18
17	1.09198570251e-1	18
18	1.52035713196e-1	18
19	3.90954017639e-2	18

0	1.13785400391e2	19
1	3.39228515625e1	19
2	1.49257812500e1	19
3	7.99491882324	19
4	4.79086303711	19
5	3.10081481934	19
6	2.15043640137	19
7	1.52161026001	19
8	1.07072067261	19
9	7.69433975220e-1	19
10	5.13662338257e-1	19
11	3.15068244934e-1	19
12	2.32225418091e-1	19
13	2.97905921936e-1	19
14	1.07263088226e-1	19
15	1.52701377869e-1	19
16	6.09598159790e-2	19
17	1.76241874695e-1	19
18	4.81244325638e-2	19
19	3.95874977112e-2	19

0	1.13785034180e2	20
1	3.39225463867e1	20
2	1.49264373779e1	20
3	7.99566650391	20
4	4.79144287109	20
5	3.10105133057	20
6	2.15047836304	20
7	1.52151489258	20
8	1.07046318054	20
9	7.68942832947e-1	20
10	5.12996673584e-1	20
11	3.14496040344e-1	20
12	2.55841732025e-1	20
13	2.60261535645e-1	20
14	1.06444478035e-1	20
15	2.27362394333e-1	20
16	5.56740164757e-2	20
17	1.46172523499e-1	20
18	3.91828417778e-2	20
19	4.16536331177e-2	20

0	1.13785522461e2	21
1	3.39228820801e1	21
2	1.49262008667e1	21
3	7.99530792236	21
4	4.79103088379	21
5	3.10064697266	21
6	2.15005302429	21
7	1.52110862732	21
8	1.07010746002	21
9	7.68659591675e-1	21
10	5.12812614441e-1	21
11	3.14084529877e-1	21
12	2.04590439796e-1	21
13	3.91718387604e-1	21
14	1.06424391270e-1	21
15	5.87879419327e-2	21
16	1.36665940285e-1	21
17	7.24417567253e-2	21
18	3.65765690804e-2	21
19	5.42970299721e-2	21

0	1.13785736084e2	22
1	3.39227600098e1	22
2	1.49263114929e1	22
3	7.99545860291	22
4	4.79119682312	22
5	3.10079383850	22
6	2.15015983582	22
7	1.52118539810	22
8	1.07018232346	22
9	7.68751621246e-1	22
10	5.12912273407e-1	22
11	3.14105153084e-1	22
12	1.93852126598e-1	22
13	3.88833165169e-1	22
14	1.08130097389e-1	22
15	6.81909620762e-2	22
16	8.86892080307e-2	22
17	1.17737770081e-1	22
18	2.91978344321e-2	22
19	4.89814430475e-2	22

0	1.13785659790e2	23
1	3.39226989746e1	23
2	1.49261531830e1	23
3	7.99533748627	23
4	4.79115009308	23
5	3.10082578659	23
6	2.15025043488	23
7	1.52130413055	23
8	1.07029938698	23
9	7.68847942352e-1	23
10	5.12974381447e-1	23
11	3.14144790173e-1	23
12	1.93936407566e-1	23
13	3.91010642052e-1	23
14	1.08111083508e-1	23
15	7.05108642578e-2	23
16	8.41607749462e-2	23
17	6.35130405426e-2	23
18	3.19010093808e-2	23
19	1.25080794096e-1	23

0	1.13785644531e2	24
1	3.39226951599e1	24
2	1.49262065887e1	24
3	7.99539470673	24
4	4.79115915298	24
5	3.10079097748	24
6	2.15018963814	24
7	1.52123439312	24
8	1.07022953033	24
9	7.68782794476e-1	24
10	5.12920856476e-1	24
11	3.14096778631e-1	24
12	1.92127063870e-1	24
13	1.67823493481e-1	24
14	1.33394435048e-1	24
15	5.76979853213e-2	24
16	1.52342334390e-1	24
17	4.24350947142e-2	24
18	3.82945574820e-2	24
19	9.25551876426e-2	24

0	1.13785667419e2	25
1	3.39227008820e1	25
2	1.49261975288e1	25
3	7.99537754059	25
4	4.79114961624	25
5	3.10078465939	25
6	2.15018332005	25
7	1.52122646570	25
8	1.07022106647	25
9	7.68776953220e-1	25
10	5.12921005487e-1	25
11	3.14101710916e-1	25
12	1.92069694400e-1	25
13	1.39033712447e-1	25
14	1.58100925386e-1	25
15	5.50289303064e-2	25
16	1.03878226131e-1	25
17	3.14223580062e-2	25
18	8.08667093515e-2	25
19	3.89139857143e-2	25

0	1.13785661697e2	26
1	3.39227027893e1	26
2	1.49261963367e1	26
3	7.99537515640	26
4	4.79114973545	26
5	3.10078775883	26
6	2.15018582344	26
7	1.52122703195	26
8	1.07022094727	26
9	7.68777400255e-1	26
10	5.12923553586e-1	26
11	3.14107052982e-1	26
12	1.92070528865e-1	26
13	1.34710185230e-1	26
14	1.65219448507e-1	26
15	5.50994537771e-2	26
16	1.55233483762e-1	26
17	3.01684346050e-2	26
18	9.25151593983e-2	26
19	4.63466849178e-2	26

0	1.13785666466e2	27
1	3.39226999283e1	27
2	1.49261898994e1	27
3	7.99536877871	27
4	4.79114747047	27
5	3.10078966618	27
6	2.15019154549	27
7	1.52123571932	27
8	1.07023032010	27
9	7.68785372376e-1	27
10	5.12927830219e-1	27
11	3.14106937498e-1	27
12	1.92022467032e-1	27
13	1.08471795917e-1	27
14	2.87783574313e-1	27
15	5.54546611384e-2	27
16	5.68282869644e-2	27
17	3.34929772653e-2	27
18	1.25199487433e-1	27
19	3.64437750541e-2	27

0	1.13785662651e2	28
1	3.39227027893e1	28
2	1.49261949658e1	28
3	7.99537304044	28
4	4.79114905000	28
5	3.10078880191	28
6	2.15018878877	28
7	1.52123125643	28
8	1.07022492588	28
9	7.68779866397e-1	28
10	5.12923389673e-1	28
11	3.14103953540e-1	28
12	1.92019650713e-1	28
13	1.07798855286e-1	28
14	1.53675172478e-1	28
15	5.83278343547e-2	28
16	4.32452620007e-2	28
17	3.80748901516e-2	28
18	8.35286653601e-2	28
19	1.39773230185e-2	28

0	1.13785662174e2	29
1	3.39227032661e1	29
2	1.49261943698e1	29
3	7.99537250400	29
4	4.79114900529	29
5	3.10078898072	29
6	2.15018900484	29
7	1.52123159170	29
8	1.07022537664	29
9	7.68780326471e-1	29
10	5.12923760340e-1	29
11	3.14104350284e-1	29
12	1.92020768765e-1	29
13	1.08066984452e-1	29
14	2.40968064405e-1	29
15	5.59506596765e-2	29
16	4.59270853316e-2	29
17	3.64891551435e-2	29
18	5.68068977445e-2	29
19	1.40713026631e-2	29

0	1.13785663247e2	30
1	3.39227030277e1	30
2	1.49261942357e1	30
3	7.99537229538	30
4	4.79114837199	30
5	3.10078812391	30
6	2.15018816292	30
7	1.52123090252	30
8	1.07022491097	30
9	7.68780076876e-1	30
10	5.12923677452e-1	30
11	3.14104286954e-1	30
12	1.92020413233e-1	30
13	1.07949772151e-1	30
14	2.13401164394e-1	30
15	5.63833491178e-2	30
16	3.28240144881e-2	30
17	5.79410855426e-2	30
18	2.08141559269e-2	30
19	1.64641019364e-2	30

0	1.13785662472e2	31
1	3.39227029979e1	31
2	1.49261942431e1	31
3	7.99537235498	31
4	4.79114852101	31
5	3.10078832693	31
6	2.15018838830	31
7	1.52123112604	31
8	1.07022511400	31
9	7.68780232407e-1	31
10	5.12923779432e-1	31
11	3.14104390796e-1	31
12	1.92020230112e-1	31
13	1.07715874095e-1	31
14	8.63225154462e-2	31
15	7.03592381906e-2	31
16	2.93787104310e-2	31
17	1.18996126344e-1	31
18	2.07913067279e-2	31
19	1.65257617919e-2	31

