           i	           x	       solgc	
           1	           1	     1.00556	
           2	           2	     1.96722	
           3	           3	     3.00001	
           4	           4	      4.0247	
           5	           5	     5.01795	
           6	           6	      5.9976	
           7	           7	      6.9868	
           8	           8	     7.99047	
           9	           9	     8.99826	
          10	          10	     10.0011	
          11	          11	     11.0001	
          12	          12	     12.0013	
          13	          13	     13.0059	
          14	          14	     14.0085	
          15	          15	     15.0041	
          16	          16	     15.9945	
          17	          17	     16.9874	
          18	          18	     17.9892	
          19	          19	     18.9992	
          20	          20	       20.01	
          21	          21	     21.0139	
          22	          22	     22.0083	
          23	          23	     22.9976	
          24	          24	     23.9889	
          25	          25	     24.9875	
          26	          26	     25.9936	
          27	          27	     27.0032	
          28	          28	     28.0106	
          29	          29	     29.0116	
          30	          30	     30.0058	
          31	          31	     30.9965	
          32	          32	      31.989	
          33	          33	     32.9879	
          34	          34	     33.9943	
          35	          35	     35.0047	
          36	          36	     36.0128	
          37	          37	      37.013	
          38	          38	     38.0044	
          39	          39	     38.9921	
          40	          40	     39.9843	
          41	          41	     40.9868	
          42	          42	     41.9988	
          43	          43	     43.0126	
          44	          44	     44.0184	
          45	          45	     45.0111	
          46	          46	     45.9951	
          47	          47	     46.9814	
          48	          48	     47.9806	
          49	          49	     48.9945	
          50	          50	     50.0137	
          51	          51	     51.0239	
          52	          52	     52.0163	
          53	          53	      52.995	
          54	          54	     53.9759	
          55	          55	     54.9745	
          56	          56	     55.9937	
          57	          57	     57.0199	
          58	          58	     58.0319	
          59	          59	     59.0182	
          60	          60	     59.9876	
          61	          61	     60.9647	
          62	          62	     61.9701	
          63	          63	     63.0024	
          64	          64	     64.0359	
          65	          65	     65.0406	
          66	          66	     66.0088	
          67	          67	     66.9652	
          68	          68	     67.9492	
          69	          69	     68.9793	
          70	          70	     70.0328	
          71	          71	     71.0611	
          72	          72	     72.0329	
          73	          73	     72.9683	
          74	          74	     73.9272	
          75	          75	     74.9549	
          76	          76	     76.0331	
          77	          77	     77.0877	
          78	          78	     78.0569	
          79	          79	     78.9601	
          80	          80	      79.892	
          81	          81	     80.9328	
          82	          82	     82.0559	
          83	          83	     83.1357	
          84	          84	     84.0721	
          85	          85	     84.9125	
          86	          86	     85.8284	
          87	          87	     86.9364	
          88	          88	     88.1431	
          89	          89	     89.2115	
          90	          90	     90.0249	
          91	          91	     90.7672	
          92	          92	     91.7609	
          93	          93	     93.0761	
          94	          94	     94.3618	
          95	          95	     95.2024	
          96	          96	     95.6921	
          97	          97	     96.5064	
          98	          98	     98.1305	
          99	          99	     99.8312	
         100	         100	     99.4417	
